X,Y,Code,Suburb,AreaKm2,Population
151.4244361,-30.2431179,10150,Baldersleigh,164.3569,54
148.467695,-32.88818533,10151,Baldry,473.5339,97
150.7644478,-29.47020353,10152,Balfours Peak,170.9276,37
151.261783,-33.79475768,10153,Balgowlah,1.959,7963
151.2651897,-33.80687301,10154,Balgowlah Heights,1.6838,3345
150.8710997,-34.38657475,10155,Balgownie,3.6874,5529
151.8042966,-32.65828904,10156,Balickera,27.4725,25
148.6011125,-31.87594383,10157,Balladoran,243.1277,109
149.6401703,-35.61874005,10158,Ballalaba,43.7739,18
146.5174303,-35.81573331,10159,Balldale,191.2906,159
152.7052515,-31.31776989,10160,Ballengarra,23.3563,92
148.901139,-32.17876419,10161,Ballimore,229.3129,197
153.559147,-28.83995886,10162,Ballina,20.4607,8648
149.570958,-34.04846239,10163,Ballyroe,82.9191,5
151.1798571,-33.85824612,10164,Balmain,1.5378,10447
151.1935133,-33.85630637,10165,Balmain East,0.343,1937
151.5790146,-33.04579673,10166,Balmoral (Lake Macquarie - NSW),0.8572,723
150.515294,-34.30254348,10167,Balmoral (Wingecarribee - NSW),26.3216,424
143.4170128,-34.3334168,10168,Balranald,5203.7421,1345
150.5188491,-34.9043319,10169,Bamarang,11.8092,29
152.4528872,-31.19475621,10170,Banda Banda,70.5119,0
151.7014845,-32.27068016,10171,Bandon Grove,50.4499,119
147.9847967,-35.27329818,10172,Bangadang,17.9611,11
150.5515289,-34.84428007,10173,Bangalee (NSW),6.5613,659
153.5219653,-28.68328769,10174,Bangalow,24.4046,2021
150.4165506,-29.83711772,10175,Bangheet,183.8029,40
148.966963,-34.75682059,10176,Bango,108.4104,99
151.0325822,-34.01631723,10177,Bangor (NSW),3.9221,5567
151.1454358,-33.94647548,10178,Banksia,0.9568,3383
151.2148743,-33.95615599,10179,Banksmeadow,3.5881,18
151.0317642,-33.92053025,10180,Bankstown,6.3927,32116
150.9885473,-33.92261748,10181,Bankstown Aerodrome,3.7302,0
149.9948994,-34.40980218,10182,Bannaby,242.3257,34
149.4912665,-34.60636696,10183,Bannister (NSW),109.924,123
150.4083633,-30.52595906,10184,Banoon,122.9755,26
153.5363779,-28.22184382,10185,Banora Point,9.6031,16169
152.9341151,-29.37203985,10186,Banyabba,206.6207,45
151.7686263,-32.93897545,10187,Bar Beach,0.5058,1258
151.1743199,-33.49167822,10188,Bar Point,10.0358,66
149.8300859,-32.5725043,10189,Bara,27.6084,30
149.166643,-30.95793089,10190,Baradine,543.0578,759
151.2015609,-33.86054234,10191,Barangaroo,0.2227,190
153.2025501,-29.90033343,10192,Barcoongere,193.4716,0
151.0040488,-34.03407486,10193,Barden Ridge,5.5991,4330
150.8616056,-33.97737419,10194,Bardia,2.1101,1605
151.1253752,-33.93496604,10195,Bardwell Park,0.9557,2235
151.1318074,-33.93738488,10196,Bardwell Valley,0.6271,2326
146.5956572,-34.18296259,10197,Barellan,986.5272,540
150.5870571,-34.28406797,10198,Bargo,49.0897,4393
144.2151013,-35.60036776,10199,Barham,472.8025,1516
149.9811083,-32.5187212,10200,Barigan,123.9167,5
153.1191735,-28.53314021,10201,Barkers Vale,26.01,164
147.4187739,-34.10774074,10202,Barmedman,708.1132,457
149.5042057,-32.17731127,10203,Barneys Reef,15.4938,0
151.5849014,-32.92791945,10204,Barnsley,3.5268,1752
145.7095896,-35.9007682,10205,Barooga,98.3096,1816
150.5495879,-30.36049454,10206,Barraba,523.5401,1410
150.8545028,-34.56306546,10207,Barrack Heights,2.416,5904
150.8693033,-34.56320116,10208,Barrack Point,0.4332,691
152.9253688,-30.87628359,10209,Barraganyatti,50.5998,133
150.0520047,-36.50419276,10210,Barragga Bay,2.4958,95
144.5298353,-35.18924844,10211,Barratta (NSW),659.3342,5
150.7230503,-34.69026673,10212,Barren Grounds,16.1586,0
150.5299306,-34.68863474,10213,Barrengarry,42.3946,196
152.7507913,-29.36405905,10214,Barretts Creek,87.2067,10
150.4626269,-34.91175725,10215,Barringella,39.4049,25
151.8955889,-31.99496731,10216,Barrington (NSW),63.0089,358
151.5276978,-31.9589152,10217,Barrington Tops,305.9778,0
149.2668428,-33.64701161,10218,Barry (Blayney - NSW),37.2701,167
151.2837764,-31.59995015,10219,Barry (Upper Hunter Shire - NSW),96.6486,4
148.4780145,-34.44559607,10220,Barwang,250.2029,83
148.9296332,-31.00583511,10221,Barwon,222.6753,31
152.6258632,-29.22027675,10222,Baryulgil,95.986,92
150.5556041,-35.09126321,10223,Basin View,7.0396,1552
150.996342,-33.89922293,10224,Bass Hill,2.9286,9067
151.1861787,-30.0615707,10225,Bassendean (NSW),82.1128,0
152.6745697,-31.67026128,10226,Batar Creek,25.7777,81
151.4725122,-33.38622313,10227,Bateau Bay,6.9381,12149
150.1983577,-35.73757002,10228,Batehaven,2.5572,1780
150.1572844,-35.70611701,10229,Batemans Bay,33.2251,1530
149.4136356,-33.49370967,10230,Bathampton,22.6942,37
149.5775036,-33.41928347,10231,Bathurst,5.8865,6930
148.1466176,-35.54501912,10232,Batlow,167.0004,1312
150.9794484,-33.75258038,10233,Baulkham Hills,16.0031,37053
149.6385247,-34.71906196,10234,Baw Baw (NSW),55.0846,258
150.3798425,-35.51197844,10235,Bawley Point,20.4862,700
151.9042772,-31.70736493,10236,Baxters Ridge,101.0207,0
151.2896261,-33.66195159,10237,Bayview (NSW),3.7398,3620
151.2587169,-33.7527527,10238,Beacon Hill,2.6051,7456
151.2004074,-33.91142384,10239,Beaconsfield (NSW),0.1728,991
152.5874098,-28.58145235,10240,Bean Creek,73.9716,79
148.8958684,-31.66662194,10241,Bearbong,294.1304,59
150.5786743,-34.78051292,10242,Beaumont (NSW),17.0572,127
150.9396671,-33.69762549,10243,Beaumont Hills,3.1896,9038
146.9951411,-34.30253997,10244,Beckom,351.32,129
150.7180625,-31.00469419,10245,Bective,133.0454,210
147.2711092,-34.50336583,10246,Bectric,145.6835,57
147.6998977,-33.33344227,10247,Bedgerabong,136.6031,149
152.671278,-31.44031136,10248,Beechwood,9.9177,611
151.0610433,-33.75293511,10249,Beecroft,5.1174,9395
150.8070516,-35.04313213,10250,Beecroft Peninsula,46.577,0
146.1046097,-34.23129889,10251,Beelbangera,21.3612,406
147.854759,-31.67657537,10252,Beemunnel,14.2192,10
149.8418113,-36.68865756,10253,Bega,31.1668,4666
148.2851221,-34.65554525,10254,Beggan Beggan,224.6292,99
150.2216799,-34.51226097,10255,Belanglo,61.6713,21
152.1691884,-31.98414034,10256,Belbora,102.3634,121
151.0858456,-33.90442432,10257,Belfield,1.7826,6317
151.2880576,-32.66936144,10258,Belford,39.7957,171
147.0553087,-35.11651105,10259,Belfrayden,4.046,30
149.0245372,-33.11361499,10260,Belgravia,95.9592,118
150.5397588,-34.08412129,10261,Belimbla Park,3.6613,583
150.2939911,-33.49735103,10262,Bell (NSW),40.5065,47
150.9546351,-33.74128799,10263,Bella Vista,3.8003,7834
150.916986,-34.36835907,10264,Bellambi,2.3391,3948
152.5818474,-31.32798374,10265,Bellangry,83.5189,94
149.7589125,-29.9354758,10266,Bellata,1021.6402,348
150.619151,-34.75887138,10267,Bellawongarah,17.9167,124
151.3164933,-32.85367757,10268,Bellbird,7.6555,2031
151.3307128,-32.8484499,10269,Bellbird Heights,0.4019,788
152.4846096,-30.75945964,10270,Bellbrook,396.1146,280
151.2556238,-33.88085753,10271,Bellevue Hill,2.3732,10719
152.898829,-31.0058522,10272,Bellimbopinni,15.6643,118
152.8944038,-30.44910485,10273,Bellingen,54.277,3776
149.2605736,-34.91320671,10274,Bellmount Forest,115.0625,117
151.1222586,-31.96976887,10275,Belltrees,170.0442,29
151.6736479,-33.03014373,10276,Belmont (NSW),10.5542,7114
151.6722469,-33.01706254,10277,Belmont North,3.6314,6336
151.6607746,-33.05335745,10278,Belmont South,2.5445,1052
151.0893509,-33.91901463,10279,Belmore,2.7309,12713
152.9654986,-31.09129924,10280,Belmore River,70.3008,269
148.7107099,-36.54824037,10281,Beloka,67.0084,18
149.6833856,-36.1019444,10282,Belowra,378.3106,8
151.2113474,-33.72220539,10283,Belrose,13.636,8775
149.5634728,-36.60523197,10284,Bemboka,334.3682,571
150.0361395,-33.23047251,10285,Ben Bullen,85.1376,103
151.6496936,-30.00946456,10286,Ben Lomond (NSW),277.9658,147
150.2188761,-35.62670611,10287,Benandarah,128.8555,168
150.4999358,-35.22974816,10288,Bendalong,14.2616,90
151.1764707,-30.80359532,10289,Bendemeer,541.4462,495
148.4495866,-34.18086654,10290,Bendick Murrell,101.874,159
151.7293229,-32.34996744,10291,Bendolba,23.7526,205
149.6797571,-35.54087306,10292,Bendoura,46.8663,66
145.8451912,-34.43043138,10293,Benerembah,385.7955,134
150.8216524,-32.28655068,10294,Bengalla,20.5773,25
151.6988161,-32.99968627,10295,Bennetts Green,3.4349,10
148.6699992,-32.50842452,10296,Benolong,189.1668,48
151.3919856,-33.49951936,10297,Bensville,4.9253,2544
153.0981691,-28.75321906,10298,Bentley (NSW),56.938,202
151.0337493,-33.87453846,10299,Berala,2.1278,9050
150.4492932,-33.53505709,10300,Berambing,4.1001,104
151.6406591,-32.80362195,10301,Beresfield,6.2892,3182
150.0948115,-35.97852124,10302,Bergalia,24.5228,169
150.8432171,-34.47871708,10303,Berkeley,7.3207,7608
151.4288455,-33.33835121,10304,Berkeley Vale,6.1417,8353
150.7752297,-33.67282702,10305,Berkshire Park,19.2667,2138
149.6866723,-35.67899171,10306,Berlang,92.5237,0
150.039423,-36.43167133,10307,Bermagui,44.2545,1536
151.1495862,-33.6282606,10308,Berowra,8.2969,4722
151.1418638,-33.54408513,10309,Berowra Creek,1.3071,16
