,X,Y,Code,Suburb,AreaKm2,Population,Density,Density_Norm,Income,Income_Norm,Earthquake,Earthquake_Norm,Hospital,Hospital_Norm,Water,Water_Norm
1640,150.7855345,-34.0098399,11642,Gledswood Hills,4.0722,24,5.893620156,0.000283549,4824,0.567395907,0,0,5,0.068493151,5,0.008264463
1643,150.7735814,-34.08869242,11645,Glen Alpine,5.3624,4558,849.9925407,0.040894176,5657,0.665372853,0,0,0,0,3,0.004958678
1654,150.6258341,-33.76369964,11656,Glenbrook,6.9945,5049,721.8528844,0.034729221,5375,0.632204187,0,0,2,0.02739726,13,0.021487603
1657,150.8541073,-33.74829159,11659,Glendenning,3.5717,5125,1434.890948,0.069034351,2209,0.259821219,0,0,3,0.04109589,4,0.00661157
1662,150.8935376,-33.97147588,11664,Glenfield (NSW),6.9946,9637,1377.777142,0.066286536,6088,0.716066808,0,0,2,0.02739726,0,0
1665,150.9984409,-33.70208143,11667,Glenhaven,7.2139,6507,902.0086222,0.043396733,1783,0.209715361,0,0,9,0.123287671,8,0.01322314
1667,150.6033053,-34.07385661,11669,Glenmore (NSW),6.6956,119,17.77286576,0.000855074,2406,0.282992237,0,0,1,0.01369863,10,0.016528926
1668,150.6804747,-33.79188668,11670,Glenmore Park,9.7403,23002,2361.528906,0.113616031,5868,0.690190543,0,0,2,0.02739726,8,0.01322314
1670,151.4218719,-33.35220521,11672,Glenning Valley,5.6557,2016,356.4545503,0.017149462,4236,0.498235709,0,0,0,0,4,0.00661157
1671,150.9922204,-33.57186933,11673,Glenorie,79.435,3497,44.02341537,0.00211802,5659,0.665608092,0,0,14,0.191780822,10,0.016528926
1680,150.9348815,-33.73569333,11682,Glenwood (NSW),5.1186,16128,3150.861564,0.151591786,4358,0.512585274,0,0,3,0.04109589,7,0.011570248
1681,151.1842122,-33.40727257,11683,Glenworth Valley,22.754,5,0.219741584,1.06E-05,1200,0.14114326,0,0,1,0.01369863,7,0.011570248
1682,150.784543,-33.53207825,11684,Glossodia,15.5359,2829,182.094375,0.008760782,5990,0.704540108,0,0,17,0.232876712,10,0.016528926
1716,151.1534093,-33.75569068,11718,Gordon (NSW),3.7887,7666,2023.38533,0.097347532,5940,0.698659139,0,0,5,0.068493151,16,0.026446281
1719,151.5059907,-33.25501217,11721,Gorokan,3.0867,8370,2711.633784,0.130460003,5674,0.667372383,0,0,2,0.02739726,10,0.016528926
1720,151.3416153,-33.42225727,11722,Gosford,2.9513,3500,1185.91807,0.057055962,4792,0.563632087,0,0,0,0,7,0.011570248
1736,151.0088297,-33.83508427,11738,Granville (NSW),3.3333,15329,4598.745987,0.221251269,4913,0.577864032,0,0,2,0.02739726,2,0.003305785
1737,150.6700858,-34.05787618,11739,Grasmere,5.4384,1963,360.9517505,0.017365828,3470,0.408139261,0,0,0,0,13,0.021487603
1741,151.0796851,-34.0580434,11743,Grays Point,1.3187,3126,2370.516418,0.114048431,4897,0.575982122,0,0,3,0.04109589,15,0.024793388
1742,151.299479,-33.59080846,11744,Great Mackerel Beach,0.1217,38,312.243221,0.015022402,2912,0.342507645,0,0,5,0.068493151,22,0.036363636
1751,151.3779839,-33.45342566,11753,Green Point (Central Coast - NSW),8.4545,6406,757.7029984,0.036454014,3681,0.432956951,0,0,1,0.01369863,11,0.018181818
1752,151.3754566,-33.43952911,11754,Green Point (Gosford - NSW),0.089,170,1910.11236,0.091897831,3681,0.432956951,0,0,0,0,9,0.014876033
1754,150.8671521,-33.90292075,11756,Green Valley (NSW),3.2145,12514,3892.984912,0.187296244,3277,0.38543872,0,0,2,0.02739726,5,0.008264463
1755,151.0583489,-33.90230985,11757,Greenacre,7.4049,24371,3291.199071,0.158343595,6154,0.723829687,0,0,1,0.01369863,10,0.016528926
1757,150.6621603,-33.92787765,11759,Greendale (Liverpool - NSW),33.9317,345,10.1674835,0.00048917,2180,0.256410256,0,0,8,0.109589041,11,0.018181818
1759,150.8918908,-33.87461198,11761,Greenfield Park,1.5028,5088,3385.680064,0.16288919,2250,0.264643613,0,0,0,0,3,0.004958678
1760,151.1574414,-33.37877485,11762,Greengrove,5.6692,20,3.527834615,0.000169728,1200,0.14114326,0,0,1,0.01369863,9,0.014876033
1762,151.1591678,-34.03671763,11764,Greenhills Beach,0.5391,793,1470.970135,0.070770164,6233,0.733121618,0,0,3,0.04109589,23,0.038016529
1768,151.1847712,-33.82948831,11770,Greenwich,1.6623,5615,3377.849967,0.162512475,7130,0.838626206,0,0,0,0,18,0.029752066
1772,150.7753988,-34.02670633,11774,Gregory Hills,6.3878,4987,780.7069727,0.037560763,4824,0.567395907,0,0,4,0.054794521,5,0.008264463
1779,150.9440331,-33.82455841,11781,Greystanes,8.9689,22803,2542.452252,0.122320474,7238,0.851329099,0,0,0,0,2,0.003305785
1783,150.6556741,-33.58539717,11785,Grose Vale,18.4767,1261,68.2481179,0.0032835,5990,0.704540108,0,0,7,0.095890411,21,0.034710744
1784,150.6766637,-33.6026285,11786,Grose Wold,11.3467,636,56.05153921,0.002696708,5990,0.704540108,0,0,6,0.082191781,18,0.029752066
1788,150.990943,-33.85626814,11790,Guildford (NSW),5.904,22327,3781.673442,0.181940914,4790,0.563396848,0,0,1,0.01369863,4,0.00661157
1789,150.9647594,-33.84938702,11791,Guildford West,1.6085,4916,3056.2636,0.147040563,5098,0.599623618,0,0,2,0.02739726,2,0.003305785
1806,151.0613369,-33.38877468,11808,Gunderman,102.6904,199,1.937863715,9.32E-05,1200,0.14114326,0,0,7,0.095890411,18,0.029752066
1824,151.0859985,-34.0343379,11826,Gymea,2.1845,7587,3473.105974,0.167095357,4897,0.575982122,0,0,3,0.04109589,17,0.028099174
1825,151.0866939,-34.04896965,11827,Gymea Bay,2.4048,6892,2865.934797,0.137883613,4897,0.575982122,0,0,3,0.04109589,16,0.026446281
1826,151.1400035,-33.8779288,11828,Haberfield,2.3828,6453,2708.158469,0.130292802,3456,0.40649259,0,0,3,0.04109589,15,0.024793388
1841,151.4708812,-33.25410653,11843,Hamlyn Terrace,5.2147,6068,1163.633574,0.055983828,4060,0.477534698,0,0,0,0,6,0.009917355
1842,150.9598391,-33.95073927,11844,Hammondville,1.8176,3495,1922.865317,0.092511392,5478,0.644318984,0,0,0,0,6,0.009917355
1850,151.3549013,-33.52718213,11852,Hardys Bay,0.606,232,382.8382838,0.018418816,3071,0.361209127,0,0,3,0.04109589,17,0.028099174
1857,150.7349868,-34.02397641,11859,Harrington Park,8.0042,10664,1332.300542,0.064098601,5750,0.676311456,0,0,2,0.02739726,9,0.014876033
1858,151.0114727,-33.82228857,11860,Harris Park,0.6389,5801,9079.66818,0.436833892,7340,0.863326276,0,0,2,0.02739726,1,0.001652893
1864,150.8381351,-33.73115709,11866,Hassall Grove,1.2203,4512,3697.451446,0.177888891,5303,0.623735592,0,0,1,0.01369863,5,0.008264463
1870,150.6433533,-33.66716502,11872,Hawkesbury Heights,2.9929,453,151.3582144,0.007282028,6062,0.713008704,0,0,0,0,15,0.024793388
1874,151.2050376,-33.88099771,11877,Haymarket,0.518,7354,14196.9112,0.683030684,4737,0.55716302,0,0,1,0.01369863,21,0.034710744
1878,150.4556629,-33.72833506,11881,Hazelbrook,12.4995,4976,398.0959238,0.01915288,3057,0.359562456,0,0,10,0.136986301,15,0.024793388
1880,150.9941684,-34.08412238,11883,Heathcote (NSW),10.1724,6013,591.1092761,0.028438987,1782,0.209597742,0,0,1,0.01369863,7,0.011570248
1883,150.8238511,-33.74582338,11886,Hebersham,1.6812,5686,3382.108018,0.162717335,4589,0.539755352,0,0,0,0,3,0.004958678
1884,150.8898184,-33.90828196,11887,Heckenberg,0.9283,3093,3331.897016,0.160301622,4003,0.470830393,0,0,1,0.01369863,2,0.003305785
1887,150.982364,-34.18274533,11890,Helensburgh,18.475,6379,345.2774019,0.016611716,2389,0.280992708,0,0,4,0.054794521,5,0.008264463
1888,151.1367771,-33.8421893,11891,Henley,0.2731,472,1728.30465,0.083150841,3817,0.448953187,0,0,2,0.02739726,13,0.021487603
1898,150.9001625,-33.17355303,11901,Higher Macdonald,87.0132,10,0.114925092,5.53E-06,660,0.077628793,0,0,12,0.164383562,26,0.042975207
1902,150.4866008,-34.3468521,11905,Hill Top (Wingecarribee - NSW),37.9127,2672,70.47770272,0.003390768,0,0,0,0,6,0.082191781,10,0.016528926
1908,151.226847,-33.9525885,11911,Hillsdale,0.5462,5505,10078.72574,0.484899768,2872,0.33780287,0,0,3,0.04109589,26,0.042975207
1912,150.8635718,-33.91816102,11915,Hinchinbrook (NSW),3.2282,11222,3476.240629,0.167246169,3252,0.382498236,0,0,2,0.02739726,5,0.008264463
1914,150.7429902,-33.60435217,11917,Hobartville (NSW),1.0912,2744,2514.662757,0.120983487,3459,0.406845448,0,0,10,0.136986301,15,0.024793388
1918,151.4049418,-33.40475787,11921,Holgate,9.0457,968,107.0121715,0.005148486,3681,0.432956951,0,0,0,0,7,0.011570248
1922,150.9978397,-33.82975587,11925,Holroyd,0.5042,1277,2532.725109,0.121852489,7144,0.840272877,0,0,1,0.01369863,1,0.001652893
1923,150.9138147,-34.06866003,11926,Holsworthy,190.2772,5481,28.80534294,0.00138586,0,0,0,0,5,0.068493151,5,0.008264463
1926,151.0792104,-33.86276023,11929,Homebush (NSW),2.5033,7004,2797.906763,0.134610701,3938,0.463185133,0,0,2,0.02739726,9,0.014876033
1927,151.0669483,-33.86269527,11930,Homebush West,1.2346,8609,6973.108699,0.33548475,3938,0.463185133,0,0,3,0.04109589,8,0.01322314
1932,150.8441108,-33.94640405,11935,Horningsea Park,0.9808,3731,3804.03752,0.183016877,3007,0.353681487,0,0,2,0.02739726,5,0.008264463
1933,151.0957892,-33.69790946,11936,Hornsby,8.3855,22167,2643.491742,0.127181607,2918,0.343213362,0,0,0,0,14,0.023140496
1934,151.1008406,-33.65715216,11937,Hornsby Heights,10.2176,6309,617.4639837,0.029706944,5138,0.604328393,0,0,1,0.01369863,17,0.028099174
1938,151.3010479,-33.49235149,11941,Horsfield Bay,0.4167,544,1305.49556,0.062808981,3631,0.427075982,0,0,0,0,12,0.019834711
1940,150.8477308,-33.84023262,11943,Horsley Park,21.9683,1837,83.62048952,0.004023084,1109,0.130439896,0,0,4,0.054794521,4,0.00661157
1948,150.857109,-33.92949533,11951,Hoxton Park,1.5387,4357,2831.6111,0.136232258,3007,0.353681487,0,0,1,0.01369863,5,0.008264463
1951,151.1456839,-33.83068771,11954,Hunters Hill,3.6317,9529,2623.840075,0.126236141,2452,0.288402729,0,0,3,0.04109589,14,0.023140496
1954,150.88233,-33.79783971,11957,Huntingwood,1.7233,0,0,0,4,0.000470478,0,0,0,0,2,0.003305785
1957,151.1378731,-33.83800965,11960,Huntleys Cove,0.274,748,2729.927007,0.131340112,3817,0.448953187,0,0,2,0.02739726,13,0.021487603
1958,151.1443963,-33.83969267,11961,Huntleys Point,0.2135,146,683.8407494,0.032900411,3817,0.448953187,0,0,3,0.04109589,14,0.023140496
1960,151.1289222,-33.91015119,11963,Hurlstone Park,1.201,4694,3908.409659,0.188038348,2819,0.331569043,0,0,2,0.02739726,16,0.026446281
1961,151.1007407,-33.96162587,11964,Hurstville,4.2255,29827,7058.809608,0.339607925,6074,0.714420136,0,0,2,0.02739726,17,0.028099174
1962,151.0932887,-33.97798082,11965,Hurstville Grove,0.9479,2666,2812.532968,0.135314386,3473,0.40849212,0,0,3,0.04109589,18,0.029752066
1971,151.0388957,-33.99923073,11974,Illawong,4.7601,7272,1527.698998,0.073499459,3012,0.354269584,0,0,3,0.04109589,15,0.024793388
1975,150.8633281,-34.00462763,11978,Ingleburn,12.454,15038,1207.483539,0.058093503,5333,0.627264173,0,0,5,0.068493151,3,0.004958678
1976,151.2577167,-33.69253284,11979,Ingleside,18.0872,972,53.7396612,0.002585481,977,0.114914138,0,0,4,0.054794521,28,0.046280992
1997,150.6768099,-33.7679693,12000,Jamisontown,3.9581,5498,1389.050302,0.066828901,4745,0.558103976,0,0,0,0,8,0.01322314
1998,151.0647744,-34.01585905,12001,Jannali,2.4959,6185,2478.064025,0.119222678,5911,0.695248177,0,0,4,0.054794521,17,0.028099174
2039,150.7336977,-33.72281712,12042,Jordan Springs,3.9812,5160,1296.091631,0.062356547,6477,0.761820748,0,0,1,0.01369863,5,0.008264463
2057,151.0958542,-34.0026229,12060,Kangaroo Point (NSW),0.2656,561,2112.198795,0.101620456,4411,0.518819101,0,0,3,0.04109589,19,0.031404959
2061,151.3958933,-33.3194906,12064,Kangy Angy,7.1396,307,42.99960782,0.002068763,1422,0.167254764,0,0,2,0.02739726,1,0.001652893
2064,151.4851599,-33.26273597,12067,Kanwal,2.4327,4095,1683.314835,0.080986326,5674,0.667372383,0,0,0,0,8,0.01322314
2070,151.0830175,-34.01741889,12073,Kareela,1.5997,3455,2159.779959,0.103909644,5911,0.695248177,0,0,4,0.054794521,18,0.029752066
2071,151.2750233,-33.45344461,12074,Kariong,25.7929,6381,247.3936626,0.01190241,1200,0.14114326,0,0,2,0.02739726,8,0.01322314
2076,150.8008,-34.02160924,12079,Kearns,2.3589,2745,1163.677986,0.055985965,5450,0.641025641,0,0,3,0.04109589,3,0.004958678
2085,150.9536078,-33.69946395,12088,Kellyville,18.6451,27973,1500.286939,0.072180631,6064,0.713243943,0,0,6,0.082191781,4,0.00661157
2086,150.9195516,-33.70386902,12089,Kellyville Ridge,2.7068,10470,3868.036057,0.186095925,8502,1,0,0,4,0.054794521,4,0.00661157
2091,150.7880997,-33.86663693,12094,Kemps Creek,34.4032,2271,66.01130127,0.003175884,1109,0.130439896,0,0,8,0.109589041,2,0.003305785
2096,151.2207515,-33.91342465,12099,Kensington (NSW),2.669,15002,5620.831772,0.270425061,2584,0.303928487,0,0,2,0.02739726,24,0.039669421
2097,150.9727967,-33.64350455,12100,Kenthurst,45.4945,5040,110.7826221,0.005329887,5659,0.665608092,0,0,12,0.164383562,4,0.00661157
2098,150.8653697,-34.06031921,12101,Kentlyn,11.2946,745,65.96072459,0.003173451,4536,0.533521524,0,0,1,0.01369863,4,0.00661157
